1	KAT8	protein
2	NR1H3	protein
3	PSMB3	protein
4	EIF6	protein
5	ENO2	protein
6	H2AW	protein
7	FBXW11	protein
8	RPL26L1	protein
9	POLR1B	protein
10	AR	protein
11	ORC6	protein
12	MIR34A	protein
13	ADRB2	protein
14	FBL	protein
15	ATXN3	protein
16	HYAL4	protein
17	LIPG	protein
18	MIR145	protein
19	TSG101	protein
20	SUMO1	protein
21	WWOX	protein
22	AGO2	protein
23	THBS1	protein
24	NUP160	protein
25	POLD2	protein
26	LMO7	protein
27	GOLGA2	protein
28	BACE2	protein
29	EGFR	protein
30	COX6C	protein
31	MAPK7	protein
32	CCNT1	protein
33	IRF5	protein
34	DPYSL2	protein
35	F2R	protein
36	FLI1	protein
37	MIR214	protein
38	CTBP1	protein
39	SENP2	protein
40	PSMD3	protein
41	AMBRA1	protein
42	LARS1	protein
43	IL6ST	protein
44	ARHGEF2	protein
45	AURKA	protein
46	BABAM2	protein
47	WDR36	protein
48	GATA3	protein
49	S100A1	protein
50	WT1	protein
51	ATXN7	protein
52	IL5	protein
53	IL12RB2	protein
54	COX14	protein
55	NTRK1	protein
56	NEFH	protein
57	SKIL	protein
58	SGPP1	protein
59	EDEM1	protein
60	SIRT1	protein
61	SLC4A1	protein
62	PGR	protein
63	ZNF746	protein
64	HDAC5	protein
65	PIK3R1	protein
66	NCBP1	protein
67	SMURF1	protein
68	PPP1CB	protein
69	SEC13	protein
70	ATP2B2	protein
71	TRADD	protein
72	PGAM5	protein
73	TARDBP	protein
74	UIMC1	protein
75	ICAM1	protein
76	LSM1	protein
77	UBE2E2	protein
78	FGF2	protein
79	EEF1A1	protein
80	RPS6KB1	protein
81	MTAP	protein
82	CTH	protein
83	ZNF7	protein
84	PSMA2	protein
85	MIR1-2	protein
86	MDM4	protein
87	PIK3C2A	protein
88	KAT6A	protein
89	MRPL18	protein
90	MAGOH	protein
91	SNRNP70	protein
92	WDR5	protein
93	SMARCA4	protein
94	CFTR	protein
95	NDUFS3	protein
96	IFIT1	protein
97	YWHAG	protein
98	GADD45A	protein
99	CCND1	protein
100	NUP133	protein
101	NOTCH1	protein
102	ABRAXAS1	protein
103	MTNR1A	protein
104	IFNAR1	protein
105	DAGLB	protein
106	ERCC3	protein
107	TK1	protein
108	GNG11	protein
109	FADS2	protein
110	STAT5A	protein
111	CPSF4	protein
112	SLK	protein
113	POLE2	protein
114	SMARCB1	protein
