H3-4,4778,ENSG00000168148,['Q16695'],http://rest.genenames.org/fetch/symbol/H3-4
VCAM1,12663,ENSG00000162692,['P19320'],http://rest.genenames.org/fetch/symbol/VCAM1
MIRLET7E,31482,ENSG00000198972,None,http://rest.genenames.org/fetch/symbol/MIRLET7E
ELAVL1,3312,ENSG00000066044,['Q15717'],http://rest.genenames.org/fetch/symbol/ELAVL1
KAT6A,13013,ENSG00000083168,['Q92794'],http://rest.genenames.org/fetch/symbol/KAT6A
MIR9-2,31642,ENSG00000284447,None,http://rest.genenames.org/fetch/symbol/MIR9-2
SYMPK,22935,ENSG00000125755,['Q92797'],http://rest.genenames.org/fetch/symbol/SYMPK
FN1,3778,ENSG00000115414,['P02751'],http://rest.genenames.org/fetch/symbol/FN1
WDR5,12757,ENSG00000196363,['P61964'],http://rest.genenames.org/fetch/symbol/WDR5
ARRB1,711,ENSG00000137486,['P49407'],http://rest.genenames.org/fetch/symbol/ARRB1
SCLY,18161,ENSG00000132330,['Q96I15'],http://rest.genenames.org/fetch/symbol/SCLY
PSMC3,9549,ENSG00000165916,['P17980'],http://rest.genenames.org/fetch/symbol/PSMC3
VAMP3,12644,ENSG00000049245,['Q15836'],http://rest.genenames.org/fetch/symbol/VAMP3
USP14,12612,ENSG00000101557,['P54578'],http://rest.genenames.org/fetch/symbol/USP14
CTBP1,2494,ENSG00000159692,['Q13363'],http://rest.genenames.org/fetch/symbol/CTBP1
RPL10,10298,ENSG00000147403,['P27635'],http://rest.genenames.org/fetch/symbol/RPL10
NSF,8016,ENSG00000073969,['P46459'],http://rest.genenames.org/fetch/symbol/NSF
MIR34A,31635,ENSG00000284357,None,http://rest.genenames.org/fetch/symbol/MIR34A
REXO2,17851,ENSG00000076043,['Q9Y3B8'],http://rest.genenames.org/fetch/symbol/REXO2
AR,644,ENSG00000169083,['P10275'],http://rest.genenames.org/fetch/symbol/AR
RAG1,9831,ENSG00000166349,['P15918'],http://rest.genenames.org/fetch/symbol/RAG1
STX8,11443,ENSG00000170310,['Q9UNK0'],http://rest.genenames.org/fetch/symbol/STX8
WWOX,12799,ENSG00000186153,['Q9NZC7'],http://rest.genenames.org/fetch/symbol/WWOX
UBE2A,12472,ENSG00000077721,['P49459'],http://rest.genenames.org/fetch/symbol/UBE2A
PTGER4,9596,ENSG00000171522,['P35408'],http://rest.genenames.org/fetch/symbol/PTGER4
