1	NCL	protein
2	GPC4	protein
3	GSTM2	protein
4	ARRB1	protein
5	RPL11	protein
6	EP300	protein
7	NUP160	protein
8	PSMD11	protein
9	PTPN1	protein
10	GOT1	protein
11	CTLA4	protein
12	ZYX	protein
13	DDIT4	protein
14	YWHAB	protein
15	MED4	protein
16	PSMD4	protein
17	POLD4	protein
18	BLNK	protein
19	RBL2	protein
20	BACE2	protein
21	CDC25B	protein
22	EDAR	protein
23	LIPG	protein
24	MYLK2	protein
25	PDE3B	protein
26	POLR2I	protein
27	PYCARD	protein
28	BARD1	protein
29	CCL7	protein
30	TWISTNB	protein
31	MIRLET7G	protein
32	MYH11	protein
33	PSMF1	protein
34	SF3A1	protein
35	DUSP3	protein
36	PGR	protein
37	PSMB3	protein
38	IL6ST	protein
39	KSR1	protein
40	NADK	protein
41	GNL3	protein
42	GGA1	protein
43	BAX	protein
44	ARHGEF7	protein
45	ARHGEF1	protein
46	SYVN1	protein
47	RAB4A	protein
48	CD44	protein
49	ENO2	protein
50	BCAP31	protein
51	CD38	protein
52	DDIT3	protein
53	SIRT7	protein
54	GSK3A	protein
55	PIK3C2A	protein
56	HNRNPUL1	protein
57	THBS3	protein
58	MRPL23	protein
59	MCM8	protein
60	FANCL	protein
61	EIF3G	protein
62	RACK1	protein
63	CPSF4	protein
64	ASAH1	protein
65	CCR3	protein
66	CFTR	protein
67	TTN	protein
68	CASP3	protein
69	SMAD4	protein
70	PEX1	protein
71	PAFAH1B1	protein
72	RPL10	protein
73	EPN3	protein
74	MIR214	protein
75	MPHOSPH8	protein
76	RXYLT1	protein
77	USP14	protein
78	PHF1	protein
79	CAV1	protein
80	UIMC1	protein
81	UBE2E2	protein
82	ESR1	protein
83	MAPK8IP3	protein
84	H3-4	protein
85	SLC4A1	protein
86	VRK3	protein
87	COLGALT2	protein
88	TCOF1	protein
89	PDHA1	protein
90	VCP	protein
91	GZMA	protein
92	SNRPG	protein
93	SEC13	protein
94	RPS3A	protein
95	SH3BP2	protein
96	PAIP1	protein
97	LMNA	protein
98	CTNNB1	protein
99	CAPN2	protein
100	PKM	protein
101	CDC37	protein
102	TUBG1	protein
103	YAP1	protein
104	HSPA8	protein
